product_id,title,description,category,price,rating,reviews_count,sales_last_30_days,stock,seller_rating,shipping_time_days
1,iPhone 13 Pro 128GB,Latest Apple iPhone with Pro camera system,Electronics/Phones,392.50076785135593,3.5724272163131103,312,97,61,4.621014807302202,1
2,Samsung Galaxy S21,Android flagship with amazing display,Electronics/Phones,883.9245369002244,4.065703349216764,616,22,7,4.757515366384917,1
3,"MacBook Pro 14""",Powerful laptop for professionals,Electronics/Laptops,596.9778160243573,3.626405341236854,449,79,88,4.574804600089591,3
4,Gaming Mouse RGB,High precision gaming mouse with RGB lighting,Electronics/Accessories,884.8604214998102,4.695948583309079,554,73,16,4.615361250766506,2
5,Wireless Earbuds,Premium wireless earbuds with noise cancellation,Electronics/Audio,862.0062740023204,3.7197316782140164,490,46,51,4.5228804236383535,2
6,iPhone 13 Pro 128GB,Latest Apple iPhone with Pro camera system,Electronics/Phones,1850.4123783261098,4.537075308888491,902,102,37,4.698749900695619,9
7,Samsung Galaxy S21,Android flagship with amazing display,Electronics/Phones,1485.2063156884797,4.2655904716979,757,142,79,4.487556504703598,9
8,"MacBook Pro 14""",Powerful laptop for professionals,Electronics/Laptops,405.5898817249373,4.933981386065975,428,185,42,4.37103688100666,9
9,Gaming Mouse RGB,High precision gaming mouse with RGB lighting,Electronics/Accessories,1832.371573230902,4.786192215114442,647,23,9,4.233342071672255,5
10,Wireless Earbuds,Premium wireless earbuds with noise cancellation,Electronics/Audio,892.1621877924817,3.5796439408876486,643,136,48,4.784685704648465,5
11,iPhone 13 Pro 128GB,Latest Apple iPhone with Pro camera system,Electronics/Phones,1980.0048433509191,4.148528128518817,58,140,22,4.9190092629257975,7
12,Samsung Galaxy S21,Android flagship with amazing display,Electronics/Phones,540.078297897275,4.822463828246963,250,147,17,4.544815888797797,8
13,"MacBook Pro 14""",Powerful laptop for professionals,Electronics/Laptops,1303.5766366669168,3.567264156046854,323,50,54,4.930894245526293,3
14,Gaming Mouse RGB,High precision gaming mouse with RGB lighting,Electronics/Accessories,278.5413798979289,4.825044333174822,904,34,58,4.1282511678943115,9
15,Wireless Earbuds,Premium wireless earbuds with noise cancellation,Electronics/Audio,1599.6121723383321,4.071517473838707,673,77,9,4.865670944923847,2
16,iPhone 13 Pro 128GB,Latest Apple iPhone with Pro camera system,Electronics/Phones,1152.8320871874782,3.9614226398039705,693,90,52,4.182482923805289,1
17,Samsung Galaxy S21,Android flagship with amazing display,Electronics/Phones,1015.7706312266579,3.7809983320543976,136,175,16,4.352047606317683,3
18,"MacBook Pro 14""",Powerful laptop for professionals,Electronics/Laptops,244.00893016227852,3.8988785112182205,440,92,4,4.4643806559808645,9
19,Gaming Mouse RGB,High precision gaming mouse with RGB lighting,Electronics/Accessories,1253.808749743871,4.107294305048549,127,168,73,4.570851076521278,2
20,Wireless Earbuds,Premium wireless earbuds with noise cancellation,Electronics/Audio,649.7948286603032,4.2884159922381295,582,5,96,4.086477496484305,3
21,iPhone 13 Pro 128GB,Latest Apple iPhone with Pro camera system,Electronics/Phones,1302.8137765268652,4.684776101564061,217,62,21,4.064278681991879,5
22,Samsung Galaxy S21,Android flagship with amazing display,Electronics/Phones,1595.048998488755,4.681837020275502,825,131,3,4.630081934300367,7
23,"MacBook Pro 14""",Powerful laptop for professionals,Electronics/Laptops,1300.339773057749,4.38072051803646,390,170,2,4.838778028209258,3
24,Gaming Mouse RGB,High precision gaming mouse with RGB lighting,Electronics/Accessories,778.4119726941523,4.573265042346327,227,111,49,4.9001264027811295,4
25,Wireless Earbuds,Premium wireless earbuds with noise cancellation,Electronics/Audio,139.5708629360163,4.807197472872328,668,116,38,4.734597638108527,9
26,iPhone 13 Pro 128GB,Latest Apple iPhone with Pro camera system,Electronics/Phones,350.76291598034334,4.06039569149961,543,175,35,4.336780444862667,4
27,Samsung Galaxy S21,Android flagship with amazing display,Electronics/Phones,607.3120983977117,4.631410909259793,683,66,39,4.076594162524082,2
28,"MacBook Pro 14""",Powerful laptop for professionals,Electronics/Laptops,1732.9489284398462,3.5729590763970775,128,0,3,4.035877027848269,5
29,Gaming Mouse RGB,High precision gaming mouse with RGB lighting,Electronics/Accessories,1478.4194412048212,4.181669367543714,627,82,38,4.610619889830755,3
30,Wireless Earbuds,Premium wireless earbuds with noise cancellation,Electronics/Audio,1003.0825136584094,4.747195428601556,566,55,8,4.451641095372896,6
31,iPhone 13 Pro 128GB,Latest Apple iPhone with Pro camera system,Electronics/Phones,968.9871491025073,3.5569353736607825,74,198,64,4.710890751173996,8
32,Samsung Galaxy S21,Android flagship with amazing display,Electronics/Phones,1402.6163947085452,3.610044277999022,630,199,86,4.939105402088843,3
33,"MacBook Pro 14""",Powerful laptop for professionals,Electronics/Laptops,1231.9871804849581,4.998581399601807,854,14,94,4.430290161601743,7
34,Gaming Mouse RGB,High precision gaming mouse with RGB lighting,Electronics/Accessories,1879.1616010352157,3.8732362030799554,262,99,79,4.4853959876629075,6
35,Wireless Earbuds,Premium wireless earbuds with noise cancellation,Electronics/Audio,572.9259760469347,4.459866959058896,697,123,80,4.097789876129922,1
36,iPhone 13 Pro 128GB,Latest Apple iPhone with Pro camera system,Electronics/Phones,1448.9966227776226,4.995016626660527,403,32,50,4.468203628010425,1
37,Samsung Galaxy S21,Android flagship with amazing display,Electronics/Phones,405.97902098250836,4.303647276096279,594,116,28,4.854867853546777,7
38,"MacBook Pro 14""",Powerful laptop for professionals,Electronics/Laptops,1877.798558601555,3.978836915316567,869,80,7,4.137076959529826,8
39,Gaming Mouse RGB,High precision gaming mouse with RGB lighting,Electronics/Accessories,875.4424890218982,4.702219166051661,460,123,74,4.100840983419987,1
40,Wireless Earbuds,Premium wireless earbuds with noise cancellation,Electronics/Audio,1686.974622379383,4.836756400637991,730,44,76,4.093702108127305,6
41,iPhone 13 Pro 128GB,Latest Apple iPhone with Pro camera system,Electronics/Phones,1303.003635025299,4.742543377016429,244,105,73,4.19190887091865,9
